Year,work,salaryMale,salaryFemale
98,礦業及土石採取業,54430,30762
98,製造業,44437,31341
98,電力及燃氣供應業,99436,75109
98,用水供應及污染整治業,45062,40863
98,營造業,42677,30874
98,批發及零售業,43301,36977
98,運輸及倉儲業,50269,42040
98,住宿及餐飲業,29510,25481
98,資訊及通訊傳播業,66948,55899
98,金融及保險業,75950,62695
98,不動產業,40968,36274
98,專業、科學及技術服務業,54288,44959
98,支援服務業,32119,30969
98,教育服務業,25119,21074
98,醫療保健服務業,95989,48000
98,藝術、娛樂及休閒服務業,37461,24653
98,其他服務業,34211,26780
99,礦業及土石採取業,56872,34940
99,製造業,48012,33965
99,電力及燃氣供應業,99134,79061
99,用水供應及污染整治業,45760,42961
99,營造業,43682,30244
99,批發及零售業,44805,38879
99,運輸及倉儲業,50968,43963
99,住宿及餐飲業,30523,25838
99,資訊及通訊傳播業,69756,57830
99,金融及保險業,83495,68450
99,不動產業,42465,39465
99,專業、科學及技術服務業,57092,48191
99,支援服務業,32981,31598
99,教育服務業,25267,21325
99,醫療保健服務業,94984,48541
99,藝術、娛樂及休閒服務業,38918,25990
99,其他服務業,36153,27320
100,礦業及土石採取業,57731,38012
100,製造業,49289,34651
100,電力及燃氣供應業,98058,77726
100,用水供應及污染整治業,46398,43940
100,營造業,45009,30825
100,批發及零售業,45904,39410
100,運輸及倉儲業,52260,45281
100,住宿及餐飲業,32078,27988
100,資訊及通訊傳播業,72177,59490
100,金融及保險業,87673,70230
100,不動產業,42324,41573
100,專業、科學及技術服務業,60194,49551
100,支援服務業,33329,32669
100,教育服務業,25106,21278
100,醫療保健服務業,97083,50584
100,藝術、娛樂及休閒服務業,39283,26799
100,其他服務業,37727,28970
101,礦業及土石採取業,56440,37519
101,製造業,49404,35357
101,電力及燃氣供應業,95885,73552
101,用水供應及污染整治業,44423,41297
101,營造業,45030,30697
101,批發及零售業,44946,38906
101,運輸及倉儲業,52418,44991
101,住宿及餐飲業,32474,28401
101,資訊及通訊傳播業,73090,59999
101,金融及保險業,87651,71997
101,不動產業,39311,39876
101,專業、科學及技術服務業,61960,49953
101,支援服務業,33479,33803
101,教育服務業,25556,21645
101,醫療保健服務業,96682,50970
101,藝術、娛樂及休閒服務業,41965,28328
101,其他服務業,37477,29318
102,礦業及土石採取業,57708,41831
102,製造業,49425,35624
102,電力及燃氣供應業,91533,72173
102,用水供應及污染整治業,44779,42045
102,營造業,44879,30539
102,批發及零售業,45590,39212
102,運輸及倉儲業,52123,44498
102,住宿及餐飲業,33108,28598
102,資訊及通訊傳播業,71451,58862
102,金融及保險業,86863,72380
102,不動產業,39601,41039
102,專業、科學及技術服務業,60483,49679
102,支援服務業,34145,33540
102,教育服務業,26042,21585
102,醫療保健服務業,95665,50764
102,藝術、娛樂及休閒服務業,42528,28794
102,其他服務業,38405,29592
103,礦業及土石採取業,57463,41204
103,製造業,50974,36746
103,電力及燃氣供應業,96809,76904
103,用水供應及污染整治業,45221,43508
103,營造業,45364,32255
103,批發及零售業,47798,41403
103,運輸及倉儲業,52407,44799
103,住宿及餐飲業,33925,30119
103,資訊及通訊傳播業,72727,59153
103,金融及保險業,90433,78547
103,不動產業,42984,42841
103,專業、科學及技術服務業,62663,51364
103,支援服務業,35000,34818
103,教育服務業,27422,22747
103,醫療保健服務業,96517,52560
103,藝術、娛樂及休閒服務業,42156,28898
103,其他服務業,40386,31146
104,礦業及土石採取業,56391,42176
104,製造業,52853,37892
104,電力及燃氣供應業,99346,78969
104,用水供應及污染整治業,44385,43515
104,營造業,45323,33104
104,批發及零售業,48437,42845
104,運輸及倉儲業,53841,45660
104,住宿及餐飲業,34870,30894
104,資訊及通訊傳播業,72677,59576
104,金融及保險業,93015,79552
104,不動產業,42268,42433
104,專業、科學及技術服務業,63364,52489
104,支援服務業,35731,35610
104,教育服務業,27045,23060
104,醫療保健服務業,99187,55631
104,藝術、娛樂及休閒服務業,43613,28366
104,其他服務業,39607,30833
